city,state,total_e2w_ev
Tenkasi,Tn:Tamil Nadu,2428
Koyilandy,Kl:Kerala,2415
Nandurbar,Mh:Maharashtra,2402
Dhanbad,Jh:Jharkhand,2391
Haveri,Ka:Karnataka,2374
Barrackpore,Wb:West Bengal,2369
Faizabad,Up:Uttar Pradesh,2361
Murshidabad,Wb:West Bengal,2356
Jagadhari,Hr:Haryana,2347
Sagar,Ka:Karnataka,2345
Padrauna,Up:Uttar Pradesh,2341
Chamaraj Nagar,Ka:Karnataka,2324
Bettiah,Br:Bihar,2290
Dausa,Rj:Rajasthan,2290
Godhra,Gj:Gujarat,2249
Morena ,Mp:Madhya Pradesh,2238
Tiruvarur,Tn:Tamil Nadu,2219
 Prakasam,Ap:Andhra Pradesh,2208
Hapur,Up:Uttar Pradesh,2203
Chittur,Kl:Kerala,2197
Hathrash,Up:Uttar Pradesh,2192
Ottappalam,Kl:Kerala,2176
Barabanki,Up:Uttar Pradesh,2173
Kashmir,Jk:Jammund Kashmir,2169
Bathinda,Pb:Punjab,2166
Villupuram,Tn:Tamil Nadu,2156
Bundi,Rj:Rajasthan,2146
Jhalawar,Rj:Rajasthan,2142
Tamluk,Wb:West Bengal,2134
Rewari,Hr:Haryana,2110
Faridabad,Hr:Haryana,2108
Hooghly,Wb:West Bengal,2107
Purnea,Br:Bihar,2097
Pernem,Ga:Goa,2097
Vaikkom,Kl:Kerala,2084
Shahdol ,Mp:Madhya Pradesh,2079
Etawah,Up:Uttar Pradesh,2073
Kodungallur,Kl:Kerala,2066
Virudhunagar,Tn:Tamil Nadu,2050
A Baruipur,Wb:West Bengal,2050
Behala Unit,Wb:West Bengal,2034
Mainpuri,Up:Uttar Pradesh,2017
Vadakara,Kl:Kerala,2004
Saraikela Kharsawan,Jh:Jharkhand,1995
Hanumangarh,Rj:Rajasthan,1993
Angamali,Kl:Kerala,1981
Neemuch ,Mp:Madhya Pradesh,1948
Siwan,Br:Bihar,1941
Thiruvallur,Tn:Tamil Nadu,1915
Quepem,Ga:Goa,1885
Raebareli,Up:Uttar Pradesh,1861
Jagdalpur,Cg:Chattisgarh,1853
 Morbi,Gj:Gujarat,1830
Begusarai,Br:Bihar,1818
Ballia,Up:Uttar Pradesh,1815
Kottakkara,Kl:Kerala,1806
Basti,Up:Uttar Pradesh,1793
Kabirdham,Cg:Chattisgarh,1788
Changanacherry,Kl:Kerala,1773
Sangrur,Pb:Punjab,1760
Kanhangad,Kl:Kerala,1759
Harda ,Mp:Madhya Pradesh,1750
Kishangarh,Rj:Rajasthan,1746
Salt Lake Unit,Wb:West Bengal,1742
Khargone,Mp:Madhya Pradesh,1735
Chandauli,Up:Uttar Pradesh,1731
Rajgarh ,Mp:Madhya Pradesh,1705
Ballabgarh,Hr:Haryana,1700
Mannarkkad,Kl:Kerala,1698
Vasco,Ga:Goa,1689
Mavelikkara,Kl:Kerala,1672
Gokak,Ka:Karnataka,1649
Mahrajganj,Up:Uttar Pradesh,1642
Nalanda,Br:Bihar,1629
Bidar,Ka:Karnataka,1628
Darbhanga,Br:Bihar,1626
Burdwan,Wb:West Bengal,1612
Dungarpur,Rj:Rajasthan,1604
Shamli,Up:Uttar Pradesh,1575
Silchar,As:Assam,1574
Aizawl,Mz:Mizoram,1558
Mandla ,Mp:Madhya Pradesh,1532
Deoghar,Jh:Jharkhand,1520
Gonda,Up:Uttar Pradesh,1508
Taran Taran,Pb:Punjab,1508
Tikamgarh ,Mp:Madhya Pradesh,1493
Hisar,Hr:Haryana,1493
Dehradun,Uk:Uttarakhand,1487
Sirohi,Rj:Rajasthan,1464
Sonipat,Hr:Haryana,1460
